id,sid,sx,sy,eid,ex,ey,num,time,max
489,244,118.198852,24.49087384,278,118.1964804,24.49125042,364,46,1008
434,255,118.1945341,24.49405849,199,118.1946976,24.49528905,1880,46,1713
440,259,118.1945043,24.49211796,255,118.1945341,24.49405849,1451,46,1713
444,260,118.1948307,24.49400823,258,118.1947818,24.49212855,74,46,856
488,278,118.1964804,24.49125042,244,118.198852,24.49087384,705,46,1008
1057,278,118.1964804,24.49125042,277,118.1947334,24.49136427,764,46,856
495,279,118.19413,24.4902268,280,118.1938897,24.48882923,280,46,1008
494,280,118.1938897,24.48882923,279,118.19413,24.4902268,940,46,1008
503,280,118.1938897,24.48882923,283,118.1933238,24.48748071,280,46,1008
502,283,118.1933238,24.48748071,280,118.1938897,24.48882923,940,46,1008
658,351,118.1932078,24.48599548,352,118.1948672,24.48532282,1014,46,1008
659,354,118.19802,24.48397351,353,118.1957568,24.48495669,1286,46,1008
771,382,118.1915082,24.48390213,396,118.1907993,24.48244597,470,46,856
746,384,118.1918336,24.48386186,383,118.192428,24.48524636,705,46,1008
773,384,118.1918336,24.48386186,397,118.1907795,24.48161194,1019,46,856
763,391,118.1937282,24.48305447,392,118.193125,24.48200444,457,46,705
768,395,118.196897,24.48179809,354,118.19802,24.48397351,1844,46,856
772,397,118.1907795,24.48161194,384,118.1918336,24.48386186,705,46,856
808,409,118.194148,24.48017916,402,118.1925597,24.48081353,28,46,1008
470,32,118.1959306,24.50821225,31,118.1961226,24.5096796,5156,47,2016
155,156,118.1994072,24.50050697,141,118.1993983,24.50203491,70,47,1008
289,196,118.1988556,24.49614206,204,118.1992565,24.49380775,26,47,856
435,199,118.1946976,24.49528905,255,118.1945341,24.49405849,210,47,1713
288,204,118.1992565,24.49380775,196,118.1988556,24.49614206,705,47,856
441,255,118.1945341,24.49405849,259,118.1945043,24.49211796,140,47,1713
444,260,118.1948307,24.49400823,258,118.1947818,24.49212855,125,47,856
1058,277,118.1947334,24.49136427,278,118.1964804,24.49125042,2115,47,856
495,279,118.19413,24.4902268,280,118.1938897,24.48882923,140,47,1008
658,351,118.1932078,24.48599548,352,118.1948672,24.48532282,187,47,1008
657,352,118.1948672,24.48532282,351,118.1932078,24.48599548,1206,47,1008
747,383,118.192428,24.48524636,384,118.1918336,24.48386186,868,47,1008
773,384,118.1918336,24.48386186,397,118.1907795,24.48161194,1103,47,856
759,390,118.1940636,24.48394469,391,118.1937282,24.48305447,322,47,554
